,model,acc,curriculum
907,0,1.0,non-sequential
908,0,1.0,non-sequential
909,0,1.0,non-sequential
910,0,1.0,non-sequential
911,0,1.0,non-sequential
912,0,0.0,non-sequential
913,0,1.0,non-sequential
914,0,1.0,non-sequential
915,0,1.0,non-sequential
916,0,0.0,non-sequential
917,0,1.0,non-sequential
918,0,1.0,non-sequential
919,0,1.0,non-sequential
920,0,1.0,non-sequential
921,0,0.0,non-sequential
922,0,0.0,non-sequential
923,0,1.0,non-sequential
924,0,1.0,non-sequential
925,0,0.0,non-sequential
926,0,1.0,non-sequential
927,0,1.0,non-sequential
928,0,1.0,non-sequential
929,0,1.0,non-sequential
930,0,1.0,non-sequential
931,0,0.0,non-sequential
932,0,1.0,non-sequential
933,0,0.0,non-sequential
934,0,1.0,non-sequential
935,0,0.0,non-sequential
936,0,1.0,non-sequential
937,0,1.0,non-sequential
938,0,1.0,non-sequential
939,0,1.0,non-sequential
940,0,0.0,non-sequential
941,0,0.0,non-sequential
942,0,0.0,non-sequential
943,0,0.0,non-sequential
944,0,1.0,non-sequential
945,0,1.0,non-sequential
946,0,1.0,non-sequential
947,0,1.0,non-sequential
948,0,1.0,non-sequential
949,0,1.0,non-sequential
950,0,1.0,non-sequential
951,0,1.0,non-sequential
952,0,1.0,non-sequential
953,0,1.0,non-sequential
954,0,1.0,non-sequential
955,0,1.0,non-sequential
956,0,1.0,non-sequential
957,0,0.0,non-sequential
958,0,1.0,non-sequential
959,0,1.0,non-sequential
960,0,1.0,non-sequential
961,0,1.0,non-sequential
962,0,1.0,non-sequential
963,0,1.0,non-sequential
964,0,1.0,non-sequential
965,0,0.0,non-sequential
966,0,1.0,non-sequential
967,0,0.0,non-sequential
968,0,1.0,non-sequential
969,0,1.0,non-sequential
970,0,1.0,non-sequential
971,0,1.0,non-sequential
972,0,1.0,non-sequential
973,0,1.0,non-sequential
974,0,1.0,non-sequential
975,0,1.0,non-sequential
976,0,1.0,non-sequential
977,0,1.0,non-sequential
978,0,1.0,non-sequential
979,0,1.0,non-sequential
980,0,1.0,non-sequential
981,0,1.0,non-sequential
982,0,1.0,non-sequential
983,0,1.0,non-sequential
