model,epoch,bce,condition,architecture
0,5,0.01715605892241001,blocked,Hebbian
0,6,0.017371758818626404,blocked,Hebbian
0,7,0.017279163002967834,blocked,Hebbian
0,8,0.01722905971109867,blocked,Hebbian
0,9,0.01672368310391903,blocked,Hebbian
0,10,0.01709497906267643,blocked,Hebbian
0,11,0.016797499731183052,blocked,Hebbian
0,12,0.016885777935385704,blocked,Hebbian
0,13,0.016638826578855515,blocked,Hebbian
0,14,0.01644153706729412,blocked,Hebbian
0,15,0.015820054337382317,blocked,Hebbian
0,16,0.01564335636794567,blocked,Hebbian
0,17,0.01564357802271843,blocked,Hebbian
0,18,0.015033386647701263,blocked,Hebbian
0,19,0.015402746386826038,blocked,Hebbian
0,20,0.014933224767446518,blocked,Hebbian
0,21,0.015364076942205429,blocked,Hebbian
0,22,0.013131493702530861,blocked,Hebbian
0,23,0.013705289922654629,blocked,Hebbian
0,24,0.014005033299326897,blocked,Hebbian
0,25,0.013879071921110153,blocked,Hebbian
0,26,0.011797701939940453,blocked,Hebbian
0,27,0.011299732141196728,blocked,Hebbian
0,28,0.009863079525530338,blocked,Hebbian
0,29,0.009440585970878601,blocked,Hebbian
0,30,0.009071187116205692,blocked,Hebbian
0,31,0.010345333255827427,blocked,Hebbian
0,32,0.008921540342271328,blocked,Hebbian
0,33,0.008851123973727226,blocked,Hebbian
0,34,0.009513018652796745,blocked,Hebbian
0,35,0.008565505966544151,blocked,Hebbian
0,36,0.008702951483428478,blocked,Hebbian
0,37,0.010932129807770252,blocked,Hebbian
0,38,0.009537707082927227,blocked,Hebbian
0,39,0.01490148063749075,blocked,Hebbian
0,40,0.014728416688740253,blocked,Hebbian
1,0,0.02424013242125511,blocked,Hebbian
1,1,0.01752064935863018,blocked,Hebbian
1,2,0.018492737784981728,blocked,Hebbian
1,3,0.01799512282013893,blocked,Hebbian
1,4,0.018637482076883316,blocked,Hebbian
1,5,0.017244432121515274,blocked,Hebbian
1,6,0.017282508313655853,blocked,Hebbian
1,7,0.01727209985256195,blocked,Hebbian
1,8,0.01698129251599312,blocked,Hebbian
1,9,0.017511971294879913,blocked,Hebbian
1,10,0.017757723107933998,blocked,Hebbian
1,11,0.015960700809955597,blocked,Hebbian
1,12,0.01610266976058483,blocked,Hebbian
1,13,0.015397298149764538,blocked,Hebbian
1,14,0.015123901888728142,blocked,Hebbian
1,15,0.014933565631508827,blocked,Hebbian
1,16,0.014757285825908184,blocked,Hebbian
1,17,0.013342931866645813,blocked,Hebbian
1,18,0.012144514359533787,blocked,Hebbian
1,19,0.011503917165100574,blocked,Hebbian
1,20,0.011464814655482769,blocked,Hebbian
1,21,0.013007954694330692,blocked,Hebbian
1,22,0.011033798567950726,blocked,Hebbian
1,23,0.014357463456690311,blocked,Hebbian
1,24,0.010968212969601154,blocked,Hebbian
1,25,0.012818019837141037,blocked,Hebbian
1,26,0.00979966577142477,blocked,Hebbian
1,27,0.009679649025201797,blocked,Hebbian
1,28,0.013212919235229492,blocked,Hebbian
1,29,0.013119885697960854,blocked,Hebbian
1,30,0.009367038495838642,blocked,Hebbian
1,31,0.01387476921081543,blocked,Hebbian
1,32,0.01504536997526884,blocked,Hebbian
1,33,0.013197701424360275,blocked,Hebbian
1,34,0.013715372420847416,blocked,Hebbian
1,35,0.013218138366937637,blocked,Hebbian
1,36,0.009221596643328667,blocked,Hebbian
1,37,0.00867534801363945,blocked,Hebbian
1,38,0.009396953508257866,blocked,Hebbian
1,39,0.008980833925306797,blocked,Hebbian
1,40,0.00914377998560667,blocked,Hebbian
2,0,0.06068475544452667,blocked,Hebbian
2,1,0.01809038035571575,blocked,Hebbian
2,2,0.017408419400453568,blocked,Hebbian
2,3,0.01748962700366974,blocked,Hebbian
2,4,0.017196521162986755,blocked,Hebbian
2,5,0.017231831327080727,blocked,Hebbian
2,6,0.016827372834086418,blocked,Hebbian
2,7,0.016971934586763382,blocked,Hebbian
2,8,0.017298107966780663,blocked,Hebbian
2,9,0.016938159242272377,blocked,Hebbian
