model,rt,error,size_condition,cat_condition,rand_condition,block_type
0,0.275572,0.0,s_ms,c_ms,c_ma,blocked
0,0.00010017597,0.0,s_ma,c_ma,c_ma,blocked
0,1.7265702e-05,0.0,s_ma,c_ma,c_ms,blocked
0,8.601366e-06,0.0,s_ma,c_ma,c_ms,blocked
0,4.114304e-06,0.0,s_ma,c_ma,c_ma,blocked
0,0.34564024,0.0,s_ms,c_ma,c_ms,blocked
0,0.33234626,0.0,s_ms,c_ma,c_ma,blocked
0,0.45297486,0.0,s_ms,c_ma,c_ms,blocked
0,0.5704299,1.0,s_ms,c_ma,c_ma,blocked
0,0.36361036,0.0,s_ms,c_ma,c_ms,blocked
0,5.1365134e-07,0.0,s_ma,c_ms,c_ma,blocked
0,6.191725e-06,0.0,s_ma,c_ms,c_ms,blocked
0,7.030121e-06,0.0,s_ma,c_ms,c_ma,blocked
0,1.4318381e-05,0.0,s_ma,c_ms,c_ms,blocked
0,2.7423773e-06,0.0,s_ma,c_ms,c_ms,blocked
0,0.35441044,0.0,s_ms,c_ms,c_ms,blocked
0,0.5784712,1.0,s_ms,c_ms,c_ma,blocked
0,0.28483513,0.0,s_ms,c_ms,c_ma,blocked
0,0.4467206,0.0,s_ms,c_ms,c_ms,blocked
0,0.5701058,1.0,s_ms,c_ms,c_ma,blocked
0,6.554976e-06,0.0,s_ma,c_ma,c_ma,blocked
0,1.888229e-05,0.0,s_ma,c_ma,c_ms,blocked
0,3.2356304e-05,0.0,s_ma,c_ma,c_ms,blocked
0,4.251266e-06,0.0,s_ma,c_ma,c_ma,blocked
0,0.5631193,1.0,s_ms,c_ma,c_ms,blocked
0,0.37197503,0.0,s_ms,c_ma,c_ma,blocked
0,0.5842066,1.0,s_ms,c_ma,c_ms,blocked
0,0.65403247,1.0,s_ms,c_ma,c_ma,blocked
0,0.51007986,1.0,s_ms,c_ma,c_ms,blocked
0,0.23271078,0.0,s_ms,c_ms,c_ms,blocked
0,0.21082187,0.0,s_ms,c_ms,c_ma,blocked
0,0.22720523,0.0,s_ms,c_ms,c_ms,blocked
0,0.17810926,0.0,s_ms,c_ms,c_ma,blocked
0,0.28413385,0.0,s_ms,c_ms,c_ma,blocked
0,4.582209e-05,0.0,s_ma,c_ms,c_ma,blocked
0,1.1703435e-05,0.0,s_ma,c_ms,c_ms,blocked
0,3.7524413e-07,0.0,s_ma,c_ms,c_ms,blocked
0,1.2069483e-05,0.0,s_ma,c_ms,c_ma,blocked
0,1.4625068e-05,0.0,s_ma,c_ms,c_ms,blocked
0,0.26406002,0.0,s_ms,c_ma,c_ms,blocked
0,0.3935489,0.0,s_ms,c_ma,c_ma,blocked
0,0.46337277,0.0,s_ms,c_ma,c_ma,blocked
0,0.38419384,0.0,s_ms,c_ma,c_ms,blocked
0,0.26926002,0.0,s_ms,c_ma,c_ms,blocked
0,2.2918503e-05,0.0,s_ma,c_ma,c_ms,blocked
0,8.664799e-06,0.0,s_ma,c_ma,c_ma,blocked
0,7.945299e-07,0.0,s_ma,c_ma,c_ms,blocked
0,4.1738704e-06,0.0,s_ma,c_ma,c_ma,blocked
0,0.32498616,0.0,s_ms,c_ms,c_ma,blocked
0,0.45846015,0.0,s_ms,c_ms,c_ms,blocked
0,0.3636152,0.0,s_ms,c_ms,c_ma,blocked
0,0.36338514,0.0,s_ms,c_ms,c_ms,blocked
0,0.44250184,0.0,s_ms,c_ms,c_ms,blocked
0,6.433669e-06,0.0,s_ma,c_ms,c_ms,blocked
0,6.5346057e-06,0.0,s_ma,c_ms,c_ma,blocked
0,7.780774e-07,0.0,s_ma,c_ms,c_ma,blocked
0,4.242831e-06,0.0,s_ma,c_ms,c_ms,blocked
0,1.823181e-06,0.0,s_ma,c_ms,c_ma,blocked
0,0.38170922,0.0,s_ms,c_ma,c_ma,blocked
0,0.44506586,0.0,s_ms,c_ma,c_ms,blocked
